index;material;radius;one_bend;tool_exchange;over_12;l_1_-_500;l_501_-_1000;l_1001_-_1500;l_1501_-_2000;l_2001_-_3000;l_3001_-_4100;l_4101_-_6000;side;schroder;henra;special;profiled;technology;machine_m1;machine_m2;machine_m1_m2;machine_t1;machine_t2;machine_tandem_t1_t2;machine_t3;machine_adr;machine_adr2;machine_boschert;machnie_schroeder_1;machine_schroder_2;machine_temabend_h300;machine_temabend_pg53;punch;matrix
84;OCYNK;2;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;tłoczenie słupków;1;1;0;1;1;0;0;2;0;1;0;0;0;0;Tłocznik słupków 22mm;Tłocznik słupków 27mm
85;OCYNK;X;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;zaginanie burt Schroder;1;1;0;1;1;0;0;0;0;0;2;2;0;0;;
86;OCYNK;X;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;zaginanie burt Schroder;1;1;0;1;1;0;0;0;0;0;2;2;0;0;;
87;OCYNK;X;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;zaginanie Schroder;1;1;0;0;0;0;0;0;0;0;2;2;0;0;;
88;X;X;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;gięcie / tłoczenie specjalne;0;0;0;0;0;0;0;1;0;2;0;0;0;0;;
89;X;0.8;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L= 500 R0.8 HENRA;1;1;0;0;0;0;0;0;0;2;0;0;0;0;KS R 0.8 Ostry;HM U16 H120
90;X;1.5;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L= 500 R1.5 HENRA;1;1;0;1;1;0;0;0;0;2;0;0;0;0;SS R 1.5 Wcięty;HM U16 H120
91;X;2;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L= 500 R2 HENRA;1;1;0;0;0;0;0;0;0;2;0;0;0;0;GS R 2.0 Podgięty;HM U16 H120
92;X;3;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L= 500 R3 HENRA;1;1;0;0;0;0;0;0;0;2;0;0;0;0;TS R 3.0 Wcięty;HM U16 H120
93;X;4;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L= 500 R4 HENRA;1;1;0;0;0;0;0;0;0;2;0;0;0;0;GSR R 4.0 Podgięty;HM U16 H120
94;X;5;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L= 500 R5 HENRA;0;0;0;0;0;0;0;0;1;2;0;0;0;0;RS R 5.0 Prosty;HM U16 H120
95;X;0.8;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=3000 R0.8 HENRA;2;2;0;1;1;0;1;0;0;0;0;0;0;0;KS R 0.8 Ostry;HM U16 H120
96;X;1.5;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=3000 R1.5 HENRA;1;1;0;2;2;0;1;0;0;0;0;0;0;0;SS R 1.5 Wcięty;HM U16 H120
97;X;3;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=3000 R3.0 HENRA;2;2;0;1;1;0;1;0;0;0;0;0;0;0;TS R 3.0 Wcięty;HM U16 H120
98;X;5;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;PRAWDA;PRAWDA;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=3000 R5 HENRA;1;1;0;1;1;0;0;0;2;0;0;0;0;0;RS R 5.0 Prosty;HM U16 H120
99;X;0.8;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=4100 R0.8 HENRA;0;0;1;0;0;1;2;0;0;0;0;0;0;0;KS R 0.8 Ostry;HM U16 H120
100;X;1.5;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=4100 R1.5 HENRA;0;0;1;0;0;1;2;0;0;0;0;0;0;0;SS R 1.5 Wcięty;HM U16 H120
101;X;3;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=4100 R3.0 HENRA;0;0;1;0;0;1;2;0;0;0;0;0;0;0;TS R 3.0 Wcięty;HM U16 H120
102;X;0.8;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=6000 0.8 HENRA;0;0;2;0;0;1;0;0;0;0;0;0;0;0;KS R 0.8 Ostry;HM U16 H120
103;X;1.5;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=6000 1.5 HENRA;0;0;2;0;0;1;0;0;0;0;0;0;0;0;SS R 1.5 Wcięty;HM U16 H120
104;X;3;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;PRAWDA;FAŁSZ;FAŁSZ;KG do L=6000 3.0 HENRA;0;0;2;0;0;1;0;0;0;0;0;0;0;0;TS R 3.0 Wcięty;HM U16 H120
105;X;X;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;PRAWDA;Profilowanie PG_53;0;0;0;1;1;0;0;0;0;0;0;0;0;2;;
106;X;X;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;FAŁSZ;X Brak dopasowania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
